timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768839244413,571,GET Homepage,200,OK,Thread Group 1 - Basic 1-3,text,true,,341711,115,8,12,https://vnexpress.net/,417,0,233
1768839244266,780,GET Homepage,200,OK,Thread Group 1 - Basic 1-1,text,true,,340437,115,9,13,https://vnexpress.net/,578,0,387
1768839244266,780,GET Homepage,200,OK,Thread Group 2 - Heavy Load 2-1,text,true,,340291,115,2,13,https://vnexpress.net/,603,0,372
1768839244315,735,GET Homepage,200,OK,Thread Group 1 - Basic 1-2,text,true,,340337,115,9,13,https://vnexpress.net/,533,0,338
1768839244266,825,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-1,text,true,,276597,125,2,13,https://vnexpress.net/kinh-doanh,658,0,372
1768839244515,589,GET Homepage,200,OK,Thread Group 1 - Basic 1-4,text,true,,340233,115,9,13,https://vnexpress.net/,415,0,196
1768839244988,122,GET Homepage,200,OK,Thread Group 1 - Basic 1-3,text,true,,341673,115,10,14,https://vnexpress.net/,85,0,0
1768839244728,399,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-2,text,true,,276950,125,2,14,https://vnexpress.net/kinh-doanh,266,0,146
1768839244612,594,GET Homepage,200,OK,Thread Group 1 - Basic 1-5,text,true,,340234,115,10,14,https://vnexpress.net/,398,0,172
1768839245046,160,GET Homepage,200,OK,Thread Group 1 - Basic 1-1,text,true,,340294,115,10,14,https://vnexpress.net/,103,0,0
1768839245050,160,GET Homepage,200,OK,Thread Group 1 - Basic 1-2,text,true,,340212,115,10,14,https://vnexpress.net/,99,0,0
1768839245046,172,GET Subpage - Thoi Su,200,OK,Thread Group 2 - Heavy Load 2-1,text,true,,314141,122,2,14,https://vnexpress.net/thoi-su,117,0,0
1768839245110,116,GET Homepage,200,OK,Thread Group 1 - Basic 1-3,text,true,,341658,115,10,14,https://vnexpress.net/,88,0,0
1768839245091,167,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-1,text,true,,316500,123,3,14,https://vnexpress.net/the-thao,109,0,0
1768839245127,139,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-2,text,true,,316786,123,3,14,https://vnexpress.net/the-thao,85,0,0
1768839244715,592,GET Homepage,200,OK,Thread Group 1 - Basic 1-6,text,true,,340248,115,10,14,https://vnexpress.net/,389,0,193
1768839244819,511,GET Homepage,200,OK,Thread Group 2 - Heavy Load 2-2,text,true,,341672,115,1,14,https://vnexpress.net/,348,0,174
1768839245210,121,GET Homepage,200,OK,Thread Group 1 - Basic 1-2,text,true,,340218,115,10,14,https://vnexpress.net/,91,0,0
1768839245207,131,GET Homepage,200,OK,Thread Group 1 - Basic 1-1,text,true,,340328,115,10,14,https://vnexpress.net/,98,0,0
1768839245226,124,GET Homepage,200,OK,Thread Group 1 - Basic 1-3,text,true,,341712,115,10,14,https://vnexpress.net/,92,0,0
1768839245206,166,GET Homepage,200,OK,Thread Group 1 - Basic 1-5,text,true,,340197,115,10,14,https://vnexpress.net/,99,0,0
1768839245266,113,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-2,text,true,,276881,125,3,14,https://vnexpress.net/kinh-doanh,86,0,0
1768839245259,138,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-1,text,true,,276590,125,3,14,https://vnexpress.net/kinh-doanh,113,0,0
1768839245104,303,GET Homepage,200,OK,Thread Group 1 - Basic 1-4,text,true,,340297,115,10,14,https://vnexpress.net/,246,0,0
1768839244814,593,GET Homepage,200,OK,Thread Group 1 - Basic 1-7,text,true,,340260,115,10,14,https://vnexpress.net/,393,0,197
1768839245330,129,GET Subpage - Thoi Su,200,OK,Thread Group 2 - Heavy Load 2-2,text,true,,314441,122,2,15,https://vnexpress.net/thoi-su,85,0,0
1768839245331,133,GET Homepage,200,OK,Thread Group 1 - Basic 1-2,text,true,,340203,115,10,14,https://vnexpress.net/,96,0,0
1768839245307,157,GET Homepage,200,OK,Thread Group 1 - Basic 1-6,text,true,,340226,115,10,14,https://vnexpress.net/,110,0,0
1768839245338,130,GET Homepage,200,OK,Thread Group 1 - Basic 1-1,text,true,,340227,115,10,14,https://vnexpress.net/,93,0,0
1768839245350,137,GET Homepage,200,OK,Thread Group 1 - Basic 1-3,text,true,,341673,115,10,14,https://vnexpress.net/,99,0,0
1768839245379,113,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-2,text,true,,316747,123,3,13,https://vnexpress.net/the-thao,87,0,0
1768839245373,135,GET Homepage,200,OK,Thread Group 1 - Basic 1-5,text,true,,340203,115,9,13,https://vnexpress.net/,101,0,0
1768839244914,606,GET Homepage,200,OK,Thread Group 1 - Basic 1-8,text,true,,340437,115,9,13,https://vnexpress.net/,383,0,199
1768839245407,123,GET Homepage,200,OK,Thread Group 1 - Basic 1-4,text,true,,340213,115,9,13,https://vnexpress.net/,93,0,0
1768839245014,519,GET Homepage,200,OK,Thread Group 1 - Basic 1-9,text,true,,341697,115,9,13,https://vnexpress.net/,346,0,175
1768839245397,150,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-1,text,true,,316522,123,3,13,https://vnexpress.net/the-thao,123,0,0
1768839245408,163,GET Homepage,200,OK,Thread Group 1 - Basic 1-7,text,true,,340317,115,9,13,https://vnexpress.net/,94,0,0
1768839245464,133,GET Homepage,200,OK,Thread Group 1 - Basic 1-6,text,true,,340204,115,9,13,https://vnexpress.net/,101,0,0
1768839245464,133,GET Homepage,200,OK,Thread Group 1 - Basic 1-2,text,true,,340195,115,9,13,https://vnexpress.net/,98,0,0
1768839245468,145,GET Homepage,200,OK,Thread Group 1 - Basic 1-1,text,true,,340212,115,8,12,https://vnexpress.net/,104,0,0
1768839245493,127,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-2,text,true,,276886,125,3,11,https://vnexpress.net/kinh-doanh,84,0,0
1768839245109,527,GET Homepage,200,OK,Thread Group 1 - Basic 1-10,text,true,,341705,115,7,11,https://vnexpress.net/,355,0,149
